T (K),a,da/dT
291.65,0,0.00E+00
300.82,0,0.00E+00
313.15,0,1.81E-06
328.65,0,8.73E-06
345.82,0.000637913,1.38E-05
350.15,0.002358641,2.13E-05
354.65,0.002358641,1.15E-05
358.98,0.002358641,3.33E-06
363.32,0.002358641,0.00E+00
367.65,0.004078279,3.23E-05
371.98,0.004078279,8.46E-05
380.82,0.005799007,2.23E-04
385.15,0.007519736,2.94E-04
389.48,0.009239374,3.58E-04
393.98,0.009239374,3.80E-04
398.32,0.01267974,3.97E-04
402.65,0.014400469,3.95E-04
406.98,0.016121197,4.07E-04
411.48,0.017840835,4.82E-04
415.82,0.019561563,0.000552197
420.15,0.02300193,0.000618473
424.48,0.026442296,0.000711647
428.98,0.029883753,0.000763032
433.32,0.033324119,0.000802358
437.65,0.036764486,0.000846056
441.98,0.041925581,0.000937219
446.32,0.045365947,0.001011818
450.82,0.050527042,0.00110296
455.15,0.055688137,0.001174248
459.48,0.060849231,0.001182759
463.82,0.066009236,0.00118032
468.32,0.071170331,0.001179138
472.65,0.076331425,0.001180295
476.98,0.08149252,0.001182683
481.32,0.086653615,0.001175177
485.82,0.091813619,0.001175402
490.15,0.095255076,0.001175306
494.48,0.100416171,0.001057607
498.82,0.105576175,0.000994633
503.15,0.109017632,0.000953226
507.65,0.112457999,0.000887879
511.98,0.117619093,0.000809867
516.32,0.12105946,0.000781306
520.65,0.124499826,0.000784214
525.15,0.127940193,0.000785742
529.48,0.133101287,0.00078353
533.82,0.136541654,0.000782761
538.15,0.139983111,0.000781219
542.65,0.143423477,0.000774761
546.98,0.148584572,0.001330089
551.32,0.164066766,0.001843434
555.65,0.17954896,0.002278357
559.98,0.196752973,0.002706254
564.48,0.212235167,0.003090715
568.82,0.227718451,0.003245529
573.15,0.243200645,0.00353974
577.48,0.263843934,0.003767749
581.98,0.289648317,0.004043803
586.32,0.313733063,0.004305188
590.65,0.339537447,0.004554772
594.98,0.36534183,0.004794002
599.48,0.389426576,0.005064364
603.82,0.41523096,0.005194845
608.15,0.437594977,0.005039212
612.48,0.459958994,0.004797047
616.98,0.480602283,0.00465839
621.32,0.496084477,0.004477144
625.65,0.521889951,0.004271932
629.98,0.544252878,0.004076764
634.32,0.564897257,0.003881894
638.82,0.578659813,0.003686583
643.15,0.592421278,0.003518
647.48,0.604464196,0.003302343
651.82,0.618226752,0.003186034
656.32,0.631988218,0.002948781
660.65,0.645750774,0.002641875
664.98,0.656072964,0.002377939
669.32,0.65951333,0.00211665
673.82,0.664674425,0.001848852
678.15,0.66983552,0.001592379
682.48,0.674996614,0.001338472
686.82,0.680156619,0.001152266
691.15,0.685317714,0.001047595
695.65,0.68875808,0.00097669
699.98,0.692199537,0.000898216
704.32,0.697360632,0.000817321
708.65,0.700800998,0.000786308
713.15,0.704241364,0.000784293
717.48,0.709402459,0.000784075
721.82,0.712842826,0.000785435
726.15,0.716283192,0.000785364
730.65,0.719723558,0.000786235
734.98,0.723165015,0.000785783
739.32,0.724884653,0.00078991
743.65,0.72832502,0.000791901
747.98,0.731766476,0.000787409
752.48,0.735206843,0.000785758
756.82,0.738647209,0.000786586
761.15,0.742087576,0.000792091
765.48,0.745529032,0.000794037
769.98,0.74724867,0.000794053
774.32,0.750689037,0.000791916
778.65,0.754130494,0.000787253
782.98,0.755850132,0.0007819
787.48,0.759290498,0.000757134
791.82,0.762731955,0.000711215
796.15,0.764451593,0.000677856
804.98,0.769612688,0.000639682
809.32,0.773053054,0.000599952
813.65,0.774773782,0.000625268
822.32,0.779934877,0.000680399
826.82,0.783375244,0.000691226
831.15,0.78681561,0.000689495
835.48,0.78681561,0.000645472
839.82,0.790255976,0.000620262
844.32,0.791976705,0.000590071
848.65,0.793697433,0.000534912
857.32,0.798857438,0.000507538
866.15,0.804018532,0.000512934
870.48,0.805739261,0.000465262
874.82,0.807458899,0.000413777
879.15,0.809179627,0.000393366
883.65,0.810900356,0.000392341
887.98,0.812619994,0.000391508
892.32,0.81606145,0.00039154
901.15,0.819501817,0.000393613
905.48,0.821221455,0.000393974
909.82,0.822942183,0.000394784
914.15,0.824662912,0.000393257
918.65,0.82638255,0.000392764
922.98,0.828103278,0.000393188
927.32,0.829822916,0.000394063
931.65,0.831543644,0.000393254
936.15,0.833264373,0.000392821
940.48,0.834984011,0.00039356
944.82,0.836704739,0.000395849
949.15,0.840145106,0.000394995
953.48,0.841865834,0.000392896
957.98,0.843585472,0.000392115
962.32,0.8453062,0.000393695
966.65,0.847025838,0.000396009
970.98,0.848746567,0.000397019
975.48,0.848746567,0.00039702
979.82,0.850467295,0.00039702
984.15,0.852186933,0.000396058
988.48,0.853907662,0.000393244
992.98,0.8556273,0.000392766
997.32,0.857348028,0.000393229
1001.65,0.859068756,0.000396002
1005.98,0.860788394,0.00039382
1010.32,0.860788394,0.000391761
1014.82,0.862509123,0.000390837
1019.15,0.864229851,0.000391647
1023.48,0.865949489,0.000392376
1027.82,0.867670218,0.000391642
1032.32,0.869389856,0.000390835
1036.65,0.869389856,0.000391698
1040.98,0.871110584,0.00039134
1045.32,0.872831312,0.000391885
1049.82,0.87455095,0.000392769
1054.15,0.87455095,0.000391676
1058.48,0.876271679,0.000393705
1062.82,0.877991317,0.000393907
1067.15,0.879712045,0.000392734
1071.65,0.881432774,0.000392396
1075.98,0.881432774,0.000391912
1080.32,0.883152412,0.000391269
1089.15,0.886592778,0.000393955
1093.48,0.886592778,0.00039341
1097.82,0.888313506,0.000392296
1102.15,0.890034235,0.000391662
1106.65,0.891753873,0.000392229
1110.98,0.891753873,0.000392795
1119.65,0.895194239,0.000394009
1124.15,0.895194239,0.000395943
1128.48,0.896914968,0.000396534
1137.15,0.900355334,0.000393762
1141.48,0.900355334,0.000393496
1145.98,0.902076062,0.000392381
1150.32,0.903796791,0.000391917
1154.65,0.905516429,0.000391342
1158.98,0.905516429,0.000391728
1163.48,0.907237157,0.000390777
1167.82,0.908956795,0.000392736
1172.15,0.910677524,0.000394979
1176.48,0.912398252,0.000397017
1180.98,0.912398252,0.000397001
1185.32,0.91411789,0.000396974
1189.65,0.915838618,0.000396105
1193.98,0.917558256,0.000393908
1198.32,0.917558256,0.000392668
1202.82,0.919278985,0.000391625
1207.15,0.920999713,0.000391782
1211.48,0.920999713,0.00039281
1215.82,0.922719351,0.000394578
1220.32,0.92444008,0.000396934
1224.65,0.92444008,0.000399479
,,
,,
,,
,,
,,
,,
,,
