T (K),a,da/dT
291.32,0,0.00E+00
422.48,0.001714869,1.22E-05
437.15,0.003429738,1.17E-04
444.48,0.005144606,2.99E-04
448.15,0.006859475,3.93E-04
451.65,0.008574344,4.84E-04
462.65,0.015433709,7.11E-04
466.32,0.017148578,8.00E-04
469.98,0.018863447,7.54E-04
473.65,0.022293184,9.42E-04
477.32,0.025722812,1.10E-03
480.98,0.030867419,1.27E-03
484.48,0.036011915,1.46E-03
488.15,0.041156522,1.42E-03
491.82,0.046301128,1.40E-03
495.48,0.051445625,1.40E-03
499.15,0.056590231,1.40E-03
502.82,0.061734728,1.40E-03
506.48,0.066879334,1.40E-03
510.15,0.072023831,0.001416357
513.65,0.077168437,0.001415416
517.32,0.082313044,0.001415821
520.98,0.08745754,0.001403061
524.65,0.092602147,0.001403057
528.32,0.097746643,0.001403062
531.98,0.10289125,0.001403057
535.65,0.108035746,0.001403052
539.32,0.113180353,0.001241763
542.98,0.11661009,0.001129145
546.48,0.120039718,0.000974893
550.15,0.123469456,0.000950071
553.82,0.126899193,0.000935383
557.48,0.13204369,0.000935383
561.15,0.135473428,0.000935383
564.82,0.138903165,0.000937424
568.48,0.144047662,0.003169261
572.15,0.168055606,0.004736464
575.65,0.19034879,0.006369456
579.32,0.214356734,0.00601909
582.98,0.233220071,0.006454133
586.65,0.262372621,0.006497674
590.32,0.286380565,0.006547621
593.98,0.30867364,0.006547621
597.65,0.332681583,0.006547621
601.32,0.356689527,0.006547621
604.98,0.38069747,0.006547621
608.48,0.404705414,0.006547621
612.15,0.426998489,0.006547621
615.82,0.451006433,0.006547621
619.48,0.475014376,0.006547621
623.15,0.49902232,0.006547621
626.82,0.523030264,0.006547621
630.48,0.547038207,0.006547621
634.15,0.562471917,0.006547621
637.82,0.593339226,0.004374426
641.32,0.617347169,0.003478355
644.98,0.634495748,0.001405522
648.65,0.639640244,0.001403042
652.32,0.646499719,0.001403049
655.98,0.651644216,0.001403056
659.65,0.656788822,0.001403064
663.32,0.663648188,0.001403103
666.98,0.668792794,0.001431791
670.48,0.673937291,0.001469828
674.15,0.680796766,0.001264449
677.82,0.684226394,0.001135201
681.48,0.687656132,0.000935383
685.15,0.691085869,0.000935383
688.82,0.694515607,0.000935374
692.48,0.697945235,0.00093537
696.15,0.701374972,0.000935375
699.82,0.70480471,0.000948647
703.32,0.708234338,0.000959135
706.98,0.711664075,0.000954553
710.65,0.713378944,0.000939052
714.32,0.715093813,0.000918009
721.65,0.721953178,0.000698104
725.32,0.725382916,0.000629499
728.98,0.727097785,0.000547325
732.48,0.730527522,0.000467656
736.15,0.732242281,0.000467672
739.82,0.735672019,0.000467673
743.48,0.737386888,0.000467673
750.82,0.742531494,0.000467672
754.48,0.744246253,0.000470961
761.82,0.749390859,0.000482761
765.32,0.751105728,0.000479591
772.65,0.756250225,0.000478826
776.32,0.757965094,0.000476974
779.98,0.759679963,0.000467689
787.32,0.764824569,0.000467647
790.98,0.766539438,0.000472044
794.48,0.768254197,0.000497926
805.48,0.775113672,0.000623556
809.15,0.776828541,0.000545586
812.82,0.778543409,0.000467691
816.48,0.780258169,0.000467679
820.15,0.781973037,0.000467684
863.82,0.802551353,0.000470823
867.48,0.804266112,0.000468703
871.15,0.805980981,0.000467683
874.82,0.80769585,0.000467691
878.48,0.809410719,0.000467691
892.98,0.814555325,0.000361179
896.65,0.816270084,0.000348308
907.65,0.819699822,0.000324431
911.32,0.82141469,0.000315847
922.15,0.824844428,0.000313879
933.15,0.828274056,0.000313731
936.82,0.829988925,0.000314716
944.15,0.831703793,0.000379717
947.82,0.833418662,0.000402153
954.98,0.835133531,0.0004677
958.65,0.8368484,0.000467691
965.98,0.838563269,0.000462603
969.65,0.840278028,0.000436729
980.48,0.843707765,0.000375339
991.48,0.847137503,0.000337906
995.15,0.848852372,0.000362913
1002.48,0.85056724,0.0003969
1006.15,0.852282,0.000433338
1016.98,0.855711737,0.00040895
1020.65,0.857426606,0.00040392
1024.32,0.859141475,0.000428583
1035.32,0.862571212,0.000467669
1038.98,0.864285971,0.000467674
1049.82,0.867715709,0.00046768
1053.48,0.869430578,0.000467683
1064.48,0.872860315,0.000460691
1068.15,0.874575184,0.000457113
1082.65,0.879719681,0.000363469
1086.32,0.88143455,0.000420854
1089.98,0.883149418,0.000476612
1100.98,0.886579156,0.000467691
1104.48,0.888293915,0.000467691
1108.15,0.890008784,0.000467691
1115.48,0.893438521,0.000462802
1137.32,0.902012756,0.000400876
1140.98,0.903727624,0.000444297
1144.65,0.905442493,0.000467691
1148.32,0.907157362,0.000467691
1151.98,0.908872231,0.000467691
1155.65,0.9105871,0.000467683
1159.32,0.912301859,0.000467679
1162.98,0.914016727,0.000467684
1181.15,0.920876203,0.000386681
1184.82,0.922591071,0.000438381
1188.48,0.924305831,0.000467677
1192.15,0.926020699,0.000467685
1206.65,0.931165306,0.000363357
1210.32,0.932880174,0.00042081
1213.98,0.934595043,0.000476279
1228.48,0.93973954,0.000354974
