T (K),a,da/dT
291.98,0,0.00E+00
296.98,0,0.00E+00
301.82,0,0.00E+00
316.65,0,0.00E+00
321.65,0,0.00E+00
326.65,0,0.00E+00
331.48,0,0.00E+00
336.48,0,0.00E+00
341.48,0,0.00E+00
346.32,0,0.00E+00
351.32,0,0.00E+00
356.32,0,0.00E+00
361.15,0,0.00E+00
366.15,0,0.00E+00
371.15,0,0.00E+00
375.98,0,0.00E+00
380.98,0,0.00E+00
385.98,0,0.00E+00
390.82,0,0.00E+00
395.82,0,0
400.82,0,0
405.65,0,0
410.65,0,0
415.65,0,0
420.48,0,0
425.48,0,0
430.48,0,0
435.32,0,0
440.32,0,0
445.15,0.001716513,0
450.15,0.001716513,5.51E-05
459.98,0.003433026,0.000120377
469.98,0.005149651,0.00018599
474.82,0.005149651,0.000227676
479.82,0.006866164,0.000293048
484.82,0.008582677,0.000342269
489.65,0.012015814,0.000424874
494.65,0.013732327,0.000515932
499.65,0.017165354,0.00060909
504.48,0.020598491,0.000668818
509.48,0.022315004,0.000695286
514.48,0.025748141,0.000761836
519.32,0.027464655,0.000836765
524.32,0.032614305,0.000953512
529.32,0.037763956,0.001038522
534.15,0.042913495,0.001042587
539.15,0.048063145,0.001048657
544.15,0.054929309,0.001048023
548.98,0.06007896,0.001045
553.98,0.06522861,0.001039206
558.98,0.070378261,0.001033412
563.82,0.077244424,0.00102993
568.82,0.08067745,0.001038596
573.82,0.085827101,0.001042323
578.65,0.090976752,0.001044405
583.65,0.094409778,0.00104754
588.65,0.099559428,0.001047627
593.48,0.104709079,0.001042829
598.48,0.109858729,0.000982241
603.48,0.111575242,0.000904148
608.32,0.118441406,0.000816989
613.32,0.121874432,0.000683786
618.32,0.12530757,0.000691808
623.15,0.128740596,0.000694916
628.15,0.132173733,0.000698948
633.15,0.137323384,0.000698541
637.98,0.14075641,0.00069653
642.98,0.144189547,0.000692759
647.98,0.147622574,0.00158449
652.82,0.154488737,0.002719149
657.82,0.187103042,0.004130232
662.82,0.218000834,0.006187789
667.65,0.248898626,0.006348062
672.65,0.281512931,0.00642544
677.65,0.312410612,0.006414511
682.48,0.343308404,0.006381038
687.48,0.375922709,0.006355368
692.48,0.406820501,0.006249758
697.32,0.437718293,0.005957766
702.32,0.470332598,0.005731507
707.32,0.497797252,0.005458492
712.15,0.514962606,0.004988179
717.15,0.533844584,0.004692256
722.15,0.552726562,0.004341996
726.98,0.569892026,0.003992297
731.98,0.588774004,0.003763553
736.98,0.605939358,0.003345953
741.82,0.624821335,0.00307469
746.82,0.643703313,0.002763302
751.82,0.660868778,0.002434309
756.65,0.671167968,0.002110383
761.65,0.674601105,0.001670031
766.65,0.679750644,0.001275084
771.48,0.683183782,0.000948666
776.48,0.688333432,0.000845712
781.48,0.691766459,0.000767726
786.32,0.696916109,0.000712713
791.32,0.700349246,0.000688002
796.32,0.703782273,0.000692254
801.15,0.70721541,0.000696722
806.15,0.710648436,0.000700174
810.98,0.714081574,0.000696148
815.98,0.7175146,0.000698529
820.98,0.719231224,0.000698321
825.82,0.72266425,0.000696459
830.82,0.726097388,0.000692826
835.82,0.729530414,0.000688872
845.65,0.732963551,0.000688997
850.65,0.736396578,0.000681861
855.48,0.739829715,0.000651437
860.48,0.741546228,0.000604787
870.32,0.746695879,0.000479859
875.32,0.748412392,0.000417617
880.32,0.751845418,0.00038655
885.15,0.753562042,0.000349124
890.15,0.755278555,0.0003795
899.98,0.760428206,0.000418704
904.98,0.762144719,0.000440804
914.82,0.76729437,0.000412245
919.82,0.769010883,0.000404746
924.82,0.770727396,0.000357464
929.65,0.77244402,0.000384827
939.65,0.77759356,0.000515854
944.48,0.77759356,0.000487134
949.48,0.781026697,0.000436923
954.48,0.78274321,0.00039727
959.32,0.784459723,0.000348924
964.32,0.786176347,0.000346262
969.32,0.787892861,0.000342571
1023.65,0.806774838,0.00034621
1028.65,0.808491351,0.000347633
1033.48,0.810207865,0.000348304
1038.48,0.811924489,0.00034667
1043.48,0.813641002,0.000346781
1048.32,0.815357515,0.000347252
1053.32,0.817074028,0.000346083
1068.15,0.820507166,0.0002992
1073.15,0.822223679,0.000311858
1077.98,0.823940192,0.000319769
1092.82,0.827373329,0.000292457
1097.82,0.829089842,0.000284855
1112.65,0.83252298,0.000290009
1117.65,0.834239493,0.000284677
1132.48,0.83767263,0.000287196
1137.32,0.839389143,0.000271756
1147.32,0.841105656,0.000275031
1152.15,0.84282217,0.000256663
1162.15,0.844538794,0.000286814
1166.98,0.846255307,0.000278266
1181.82,0.849688333,0.00028493
1186.82,0.851404958,0.000269037
1196.65,0.853121471,0.000283308
1201.65,0.854837984,0.000273452
1216.48,0.858271121,0.000294582
1226.32,0.861704147,0.000318572
