T (K),a,da/dT
296.98,0,3.04E-07
301.98,5.67366E-06,6.94E-07
306.98,1.13473E-05,1.05E-06
311.98,1.7021E-05,7.19E-06
322.98,0.000396021,1.68E-05
336.32,0.000411907,1.05E-05
352.82,0.000430063,1.44E-06
369.48,0.000449354,1.14E-06
386.15,0.000468644,2.70E-05
396.15,0.000479991,6.86E-05
402.65,0.001630609,9.24E-05
421.48,0.001855286,9.79E-06
426.48,0.001860959,5.08E-06
431.48,0.001866633,1.13E-06
436.48,0.001872307,1.13E-06
441.48,0.00187798,1.13E-06
446.48,0.001883654,1.15E-06
451.32,0.001889328,1.15E-06
456.32,0.001895001,1.15E-06
475.82,0.002857254,8.23E-05
491.15,0.00707505,0.00026611
496.15,0.008793034,0.000324442
501.15,0.010512152,0.000381114
511.15,0.015663832,0.000515167
516.15,0.015669506,0.000595447
521.15,0.019102068,0.000711963
525.98,0.022533496,0.000900172
530.98,0.029392947,0.001172459
535.98,0.036251264,0.001284684
540.98,0.041397271,0.001248683
545.98,0.048255587,0.001279071
550.98,0.055115039,0.001371762
555.98,0.061973355,0.001371795
560.98,0.068832807,0.001385346
565.82,0.075691123,0.001299761
570.82,0.08083713,0.00125515
575.82,0.087695447,0.001180714
580.82,0.092841454,0.001224193
585.82,0.09969977,0.001164374
590.82,0.104845777,0.001121785
595.82,0.109990649,0.001118917
600.82,0.116850101,0.001133123
605.65,0.121994973,0.001152111
625.65,0.130584889,0.000411023
630.65,0.132304007,0.000375015
635.65,0.134023126,0.00034376
640.65,0.135741109,0.000348135
645.48,0.137460227,0.000354101
650.48,0.139179345,0.000995408
655.48,0.14946455,0.001399457
660.48,0.159750891,0.001995419
665.48,0.168322652,0.001973961
670.48,0.178607857,0.001968454
675.48,0.188893062,0.002077599
680.32,0.199178268,0.002080606
685.32,0.209463473,0.002292834
690.32,0.219749813,0.00262582
695.32,0.235174217,0.00319666
698.32,0.247779948,0.00360727
700.32,0.260879288,0.003857715
705.32,0.284870914,0.004483828
710.32,0.310575984,0.004987589
715.32,0.33456761,0.005090218
720.15,0.36027268,0.005126121
725.15,0.385977751,0.005063925
730.15,0.409969377,0.005097763
735.15,0.432247558,0.005157982
740.15,0.459666073,0.005228537
745.15,0.485371143,0.005121907
750.15,0.502508992,0.004433763
755.15,0.51793453,0.003836488
759.98,0.533360069,0.00311611
764.98,0.547072163,0.00301044
769.98,0.562496567,0.00299716
774.98,0.577922106,0.003085044
779.98,0.593347644,0.003085108
784.98,0.608773183,0.003085044
789.98,0.624197587,0.002965165
794.98,0.637909681,0.002552768
799.82,0.644769132,0.002063208
804.82,0.651627449,0.001516614
809.82,0.656773456,0.001029079
814.82,0.660204884,0.000955085
819.82,0.668777779,0.000971368
824.82,0.673922652,0.001042211
829.82,0.680782103,0.001114854
834.82,0.685926975,0.001127604
839.65,0.691072982,0.001044401
844.65,0.696218989,0.001039168
849.65,0.701363861,0.000936369
854.65,0.704796423,0.0009057
859.65,0.709941296,0.000937373
864.65,0.715087302,0.000939058
869.65,0.718519865,0.000922953
874.48,0.723664737,0.000951419
879.48,0.728810744,0.000947062
884.48,0.732243307,0.000894614
889.48,0.737388179,0.000834894
894.48,0.740820741,0.00088297
899.48,0.745966748,0.000833057
904.48,0.749398176,0.000883469
909.48,0.754544183,0.000837895
914.32,0.757976745,0.000892687
919.32,0.763121617,0.00083964
924.32,0.76655418,0.000881884
929.32,0.771700187,0.000821746
934.32,0.775131614,0.000779079
939.32,0.778564177,0.000778125
944.32,0.783710184,0.000810112
949.32,0.787141612,0.000784704
954.15,0.790574174,0.00078832
959.15,0.795720181,0.000819099
964.15,0.799151609,0.000779934
969.15,0.802584171,0.000686448
974.15,0.806016734,0.000686512
979.15,0.809449296,0.000686447
984.15,0.812880724,0.000686427
989.15,0.816313286,0.000788253
993.98,0.821459293,0.000810633
998.98,0.824890721,0.000785459
1003.98,0.828323284,0.000686448
1008.98,0.831755846,0.000686512
1013.98,0.835188409,0.000686447
1018.98,0.838619836,0.000686402
1023.98,0.842052399,0.000594136
1028.82,0.843771517,0.000567095
1033.82,0.847204079,0.000596467
1038.82,0.850635507,0.000686414
1043.82,0.85406807,0.000686459
1048.82,0.857500632,0.000649358
1058.82,0.862651178,0.000588468
1063.82,0.86608374,0.000553326
1068.65,0.867802858,0.000563981
1073.65,0.871235421,0.000597342
1078.65,0.874667983,0.000593745
1083.65,0.876385967,0.000551316
1088.65,0.879818529,0.000492145
1093.65,0.881537647,0.000540471
1098.65,0.88497021,0.000491125
1103.65,0.886689328,0.000544335
1108.48,0.890120756,0.000475823
1113.48,0.891839874,0.000472375
1123.48,0.896991554,0.000481165
1133.48,0.9021421,0.000460583
1138.48,0.903861218,0.000441735
1148.32,0.909012899,0.000423676
1153.32,0.910732017,0.000441304
1163.32,0.915882562,0.000420865
1168.32,0.917601681,0.000438033
1178.32,0.922753361,0.000417621
1183.15,0.924472479,0.000392952
1188.15,0.926191597,0.000382894
1203.15,0.933061261,0.000394729
1208.15,0.934780379,0.000392258
1213.15,0.936499497,0.00041763
1222.98,0.941650043,0.000482013
