T (K),a,da/dT
289.32,0,0.00E+00
306.15,0,0.00E+00
324.15,0,0.00E+00
339.15,0,6.87E-08
351.15,0,8.49E-07
366.15,0,3.13E-06
377.98,0.00019389,4.86E-06
382.15,0.00019389,6.37E-06
386.48,0.00019389,6.52E-06
390.65,0.00019389,1.22E-05
394.82,0.00019389,2.07E-05
399.15,0.001907396,1.52E-05
407.48,0.001907396,4.71E-05
411.82,0.001907396,7.85E-05
415.98,0.003620902,1.61E-04
420.32,0.003620902,2.64E-04
424.48,0.00533562,3.37E-04
428.65,0.007049126,3.82E-04
432.98,0.007049126,4.02E-04
437.15,0.008763844,0.000400093
441.32,0.01047735,0.000415544
445.65,0.012190856,0.00045558
449.82,0.01561908,0.000507098
453.98,0.017333797,0.000581769
458.32,0.020760809,0.00063929
462.48,0.022475527,0.000699454
466.65,0.025903751,0.000746651
470.98,0.032758986,0.000792048
475.15,0.03618721,0.000851404
479.32,0.039615434,0.000906895
483.65,0.044757164,0.000983507
487.82,0.048185387,0.001079339
491.98,0.053327117,0.001139115
496.32,0.058468847,0.001199989
500.48,0.063610577,0.001210965
504.65,0.070467024,0.00120994
508.98,0.075608754,0.001145751
513.15,0.080750484,0.0010716
517.32,0.084178707,0.00099236
521.65,0.092748661,0.000931241
525.82,0.092748661,0.000873484
529.98,0.096176884,0.000838392
534.32,0.101318614,0.000824703
538.48,0.104746838,0.000787444
542.65,0.106460344,0.000746507
546.98,0.109888568,0.000682052
551.15,0.111602074,0.000677652
555.48,0.115030297,0.000694788
559.65,0.116743803,0.000785029
563.82,0.120172027,0.000936768
568.15,0.125313757,0.001090665
572.32,0.130456698,0.001467505
576.48,0.135598428,0.001954928
580.82,0.139026652,0.002386885
584.98,0.144168382,0.002777577
589.15,0.157880065,0.003149415
593.48,0.178448195,0.003528347
597.65,0.199015114,0.003899104
601.82,0.221297963,0.0041689
606.15,0.241864882,0.004403682
610.32,0.264146518,0.004726366
614.48,0.284714649,0.004835206
618.82,0.30528278,0.004851037
622.98,0.32585091,0.004850959
627.15,0.348132547,0.004848037
631.48,0.368699466,0.004812688
