T (K),a,da/dT
289.82,0,0.00E+00
304.32,0,2.89E-07
316.82,1.09728E-05,6.41E-07
329.32,2.30428E-05,9.15E-07
341.82,3.40156E-05,1.51E-06
354.32,4.60856E-05,7.25E-06
363.15,0.000305043,1.32E-05
367.48,0.000309432,3.22E-05
371.82,0.000313821,1.05E-04
376.15,0.002034351,1.32E-04
380.48,0.002037643,1.04E-04
384.65,0.002042032,9.79E-07
388.98,0.002046421,9.79E-05
393.32,0.00376695,8.79E-05
397.65,0.003770242,1.24E-04
406.32,0.005495161,2.27E-04
410.65,0.007215691,3.24E-04
414.98,0.00893622,3.97E-04
419.32,0.01065675,4.02E-04
423.48,0.01237728,0.000545643
427.82,0.015815047,0.000652285
432.15,0.015818339,0.000740166
436.48,0.019256107,0.000793259
440.82,0.022692777,0.00079323
445.15,0.026130544,0.000793186
449.48,0.029567214,0.000793223
453.82,0.033004982,0.000793189
458.15,0.036441652,0.000802415
462.32,0.039878322,0.000919704
466.65,0.04503223,0.001083044
470.98,0.050186138,0.001189363
475.32,0.055340046,0.001189363
479.65,0.060493955,0.001189363
483.98,0.065647863,0.001189291
488.32,0.070800673,0.001189255
492.65,0.075954581,0.001189294
496.98,0.081108489,0.001203365
501.15,0.086262397,0.001209368
505.48,0.091416306,0.001200302
509.82,0.096569116,0.001150102
518.48,0.105160792,0.000963579
522.82,0.108597462,0.000886528
527.15,0.11203523,0.000896806
531.48,0.11718804,0.000926589
535.82,0.120625808,0.000794391
539.98,0.125779716,0.000599845
544.32,0.127500246,0.000399676
548.65,0.130936916,0.000687678
552.98,0.134373586,0.000793131
557.32,0.137811353,0.00115684
561.65,0.144681402,0.001525147
565.98,0.15670097,0.001952742
570.32,0.167004397,0.002358992
574.65,0.179025061,0.002688474
578.82,0.191044629,0.003086612
583.15,0.201348056,0.003489939
587.48,0.21851824,0.004044033
591.82,0.244270223,0.004630707
596.15,0.271739445,0.005186619
600.48,0.297491429,0.006012063
604.82,0.32496065,0.006072807
609.15,0.350712634,0.006128916
613.48,0.378181856,0.005993518
617.65,0.402217699,0.005956518
621.98,0.42797078,0.005779241
626.32,0.452006623,0.005653216
630.65,0.476042467,0.005503282
634.98,0.493211553,0.005397978
639.32,0.524114153,0.005183373
643.65,0.546432759,0.005122064
647.98,0.563602942,0.004245126
652.32,0.577339748,0.003468186
656.48,0.591075456,0.003329221
660.82,0.606529499,0.003489483
665.15,0.621982445,0.003449464
669.48,0.635718153,0.003144384
673.82,0.647738818,0.002719882
678.15,0.652892726,0.002185506
682.48,0.658045537,0.001738503
686.82,0.663199445,0.001189335
691.15,0.668353353,0.001189366
695.48,0.673507261,0.001202936
699.65,0.678661169,0.001092186
703.98,0.682097839,0.000920497
708.32,0.685535607,0.000895025
712.65,0.690688417,0.000924813
716.98,0.694126185,0.00089717
721.32,0.697562855,0.000793221
725.65,0.701000623,0.000793188
729.98,0.704437293,0.000898244
734.32,0.709591201,0.00093679
738.48,0.713027871,0.000915606
742.82,0.716465639,0.000802037
747.15,0.719902309,0.000689218
751.48,0.721622838,0.000661346
755.82,0.725060606,0.000689445
760.15,0.728497276,0.000793221
764.48,0.731935044,0.000793186
768.82,0.735371714,0.000793127
773.15,0.738808384,0.000689193
777.32,0.740528914,0.000664933
781.65,0.743966681,0.000693709
785.98,0.747403351,0.000690741
790.32,0.749123881,0.00066158
794.65,0.752561649,0.000690716
798.98,0.755998319,0.000688827
803.32,0.757718848,0.000643825
807.65,0.761156616,0.000578813
811.98,0.762877146,0.000661213
816.15,0.766313816,0.000700814
820.48,0.769751583,0.000698331
824.82,0.771472113,0.000643002
829.15,0.774908783,0.000570269
833.48,0.776629313,0.000624473
837.82,0.78006708,0.000565857
842.15,0.78178761,0.000620281
846.48,0.78522428,0.000548577
850.82,0.78694481,0.000505666
854.98,0.788665339,0.000506354
859.32,0.792103107,0.000535948
863.65,0.793823637,0.000498903
867.98,0.795544166,0.0005422
872.32,0.798980837,0.000537176
880.98,0.802421896,0.000557198
885.32,0.805859663,0.000490822
889.65,0.807580193,0.000499181
893.82,0.809300723,0.000422105
898.15,0.811021252,0.000442935
906.82,0.816178452,0.000477214
911.15,0.817898982,0.000468364
915.48,0.819619512,0.000397045
919.82,0.821340041,0.000397045
924.15,0.823060571,0.000525823
928.48,0.826498338,0.0005268
936.98,0.829939398,0.000475852
941.32,0.831659927,0.000399849
945.65,0.833380457,0.000397045
949.98,0.835100987,0.000397045
954.32,0.836821516,0.000468623
958.65,0.840259284,0.000387287
962.98,0.840262576,0.000402047
967.32,0.841983105,0.000327961
971.48,0.843703635,0.000403795
975.82,0.845424165,0.000401582
980.15,0.847144694,0.000397045
984.48,0.848865224,0.000397045
988.82,0.850585754,0.000397138
993.15,0.85230738,0.000397153
1001.82,0.85574844,0.000326455
1006.15,0.855751732,0.000322545
1010.32,0.857472261,0.000307104
1014.65,0.859192791,0.000401504
1018.98,0.860913321,0.000397045
1023.32,0.86263385,0.000397118
1027.65,0.864355477,0.000397156
1031.98,0.866076007,0.000293318
1036.32,0.866079299,0.000265191
1040.65,0.867799828,0.000293064
1044.98,0.869520358,0.000382813
1049.15,0.871240888,0.000403881
1057.82,0.874681947,0.00032471
1062.15,0.874686336,0.000315297
1066.48,0.876406866,0.000300864
1070.82,0.878127395,0.000397045
1075.15,0.879847925,0.000397045
1079.48,0.881568455,0.000294828
1083.82,0.881572844,0.000275978
1087.98,0.883293374,0.000298089
1092.32,0.885013903,0.000401481
1096.65,0.886734433,0.000397045
1100.98,0.888454963,0.000293564
1105.32,0.888459352,0.000267499
1109.65,0.890179881,0.000325193
1113.98,0.891900411,0.000376242
1122.65,0.89534147,0.000321989
1126.82,0.895345859,0.000315331
1131.15,0.897066389,0.00033709
1135.48,0.898786919,0.000379567
1144.15,0.902227978,0.000321659
1148.48,0.902232367,0.000315046
1152.82,0.903952897,0.000301024
1157.15,0.905673426,0.000397045
1161.48,0.907393956,0.000397027
1165.82,0.909114486,0.000290142
1169.98,0.909117778,0.00026824
1174.32,0.910838307,0.000293779
1178.65,0.912558837,0.000397117
1182.98,0.914280464,0.000397154
1187.32,0.916000994,0.000397117
1191.65,0.917721523,0.000293049
1195.98,0.917724815,0.000265183
1200.32,0.919445345,0.000293236
1204.65,0.921165874,0.000401558
1208.82,0.922886404,0.000302047
1213.15,0.922890793,0.000275369
1217.48,0.924611323,0.000327138
1221.82,0.926331852,0.000408704
