T (K),a,da/dT
332.82,0,0
337.65,0,0
342.48,0,0
347.48,0,0
352.32,0,0
357.15,0,0
386.48,0.001688394,6.53E-05
396.15,0.003405125,0.00014812
410.82,0.00684331,0.000255752
415.65,0.008564763,0.000283664
425.48,0.010281494,0.00033431
430.32,0.012002948,0.000356137
435.15,0.013723221,0.000431083
440.15,0.018892305,0.000532178
444.98,0.022336393,0.000633694
449.82,0.025781661,0.000712721
454.82,0.030950745,0.000712699
459.65,0.034394833,0.000712689
464.48,0.037840102,0.000779488
469.32,0.043009185,0.000859066
474.32,0.046453273,0.000943024
479.15,0.051622357,0.001069466
483.98,0.056791441,0.001067226
488.82,0.061960525,0.00105945
493.82,0.067128428,0.00105462
498.65,0.072297512,0.001059215
503.48,0.077466595,0.00105953
508.48,0.082635679,0.001038143
513.32,0.087803582,0.000920609
518.15,0.094696481,0.000838369
522.98,0.09814175,0.000714383
527.98,0.101587018,0.000699946
532.82,0.103307291,0.000702867
537.65,0.10675256,0.000705783
542.48,0.110196648,0.000707266
547.48,0.113641917,0.000705293
552.32,0.117086005,0.000703713
557.15,0.120531273,0.000716269
562.15,0.125700357,0.001477557
566.98,0.136040886,0.001710563
571.82,0.14810523,0.001983669
576.65,0.160170755,0.002496227
581.65,0.170511284,0.002499868
586.48,0.182576808,0.002491289
591.32,0.192917337,0.002482347
596.15,0.204982862,0.002465479
601.15,0.217047206,0.002446482
605.98,0.227387735,0.002527513
610.82,0.239453259,0.002611225
615.82,0.253242599,0.002742572
620.65,0.267030758,0.002971316
625.48,0.282543913,0.003200175
630.32,0.292884442,0.003147252
635.32,0.310121411,0.003179193
640.15,0.325634566,0.003106362
644.98,0.339423906,0.00303342
649.82,0.353213245,0.0029045
654.82,0.3687264,0.002667517
659.65,0.382514559,0.002504837
664.48,0.396303899,0.002329527
669.48,0.404920613,0.002158278
674.32,0.413537327,0.001919838
679.15,0.42215404,0.001771275
683.98,0.429046939,0.001766541
688.98,0.437663653,0.001767208
693.82,0.446280367,0.001767823
698.65,0.453173266,0.001775294
703.48,0.46179116,0.00165135
708.48,0.470407874,0.001506372
713.32,0.475575777,0.001360815
718.15,0.480744861,0.001061666
723.15,0.485913945,0.0010582
727.98,0.491083028,0.001059297
732.82,0.496252112,0.001069394
737.65,0.501420015,0.001059413
742.65,0.506589099,0.001054652
747.48,0.511758183,0.001061308
752.32,0.516927267,0.001073694
757.15,0.520371355,0.000942308
762.15,0.525540438,0.000857835
766.98,0.528985707,0.000778732
771.82,0.532429795,0.000737656
776.82,0.537598879,0.000711137
781.65,0.541042967,0.000708443
786.48,0.54276442,0.000705523
791.32,0.549657319,0.000704294
796.32,0.553101407,0.000691727
801.15,0.556546676,0.000703972
805.98,0.559991945,0.000712742
810.82,0.563436033,0.000706044
815.82,0.566881301,0.000702659
820.65,0.570325389,0.000705878
825.48,0.573770658,0.00070602
830.48,0.577214746,0.000702689
835.32,0.580660015,0.000705909
840.15,0.584105284,0.000712743
844.98,0.587549372,0.000704221
849.98,0.59099464,0.000702744
854.82,0.592714913,0.000704228
859.65,0.596160182,0.000705816
864.48,0.59960427,0.000707285
869.48,0.603049539,0.000704856
874.32,0.606494807,0.000700913
879.15,0.60821508,0.000700906
884.15,0.611660349,0.000702086
888.98,0.615104437,0.0007039
893.82,0.616825891,0.000702965
898.65,0.620269979,0.000704044
903.65,0.623715247,0.000702206
908.48,0.62543552,0.000705799
913.32,0.628880789,0.000708347
918.15,0.632324877,0.000711188
923.15,0.634046331,0.000710243
927.98,0.637490419,0.000705115
932.82,0.639211872,0.000702184
937.82,0.64265596,0.000701526
942.65,0.644377414,0.000673168
947.48,0.647821502,0.000650378
957.32,0.652987044,0.000583013
966.98,0.658152585,0.00053299
971.82,0.659874039,0.000507134
981.65,0.665039581,0.0004537
986.48,0.666759854,0.00043127
996.32,0.671925395,0.000382096
1001.15,0.673645668,0.000364808
1005.98,0.675367122,0.000349648
1059.65,0.694294847,0.000349431
1064.65,0.696016301,0.000350869
1069.48,0.697736574,0.000352559
1074.32,0.699456847,0.000355989
1079.15,0.701178301,0.000351728
1084.15,0.702898574,0.000346642
1103.65,0.708058212,0.000283907
1108.48,0.709778485,0.000316955
1113.32,0.711498758,0.000340792
1118.32,0.713220211,0.00036048
1142.65,0.720100122,0.000298396
1147.48,0.721820395,0.000325041
1152.48,0.723540668,0.0003507
1157.32,0.725262122,0.000353161
1162.15,0.726982395,0.000310842
1171.98,0.728700307,0.00017904
1191.48,0.735582579,0.000354735
1196.32,0.737304033,0.000354169
1201.15,0.739024306,0.000352721
1206.15,0.740745759,0.000350965
1210.98,0.742466032,0.000352559
1215.82,0.744186305,0.000355231
1220.65,0.745907759,0.0003572
