T (K),a,da/dT
297.48,0,0.00E+00
302.48,0,0.00E+00
307.48,0,0.00E+00
312.32,0,0.00E+00
317.32,0,0.00E+00
322.32,0,0.00E+00
327.32,0,0.00E+00
332.15,0,0.00E+00
337.15,0,0.00E+00
342.15,0,0.00E+00
347.15,0,0.00E+00
351.98,0,0.00E+00
356.98,0,0.00E+00
361.98,0,0.00E+00
366.98,0,0.00E+00
371.82,0,0.00E+00
376.82,0,0.00E+00
381.82,0,0.00E+00
386.82,0,0.00E+00
391.65,0,0
396.65,0,0
401.65,0,0
406.65,0,0
411.48,0,0
416.48,0,0
421.48,0,0
426.48,0,0
431.32,0,3.47E-05
441.32,0.00171523,7.60E-05
446.32,0.00171523,0.000103218
456.15,0.003430461,0.000122
470.98,0.005145691,0.000218946
480.98,0.008576152,0.000323548
490.82,0.013721843,0.000467378
500.82,0.018867534,0.000529407
510.65,0.024013225,0.000581828
515.65,0.027443685,0.00065219
520.65,0.030874146,0.000790066
525.65,0.036019837,0.000940534
530.48,0.041165528,0.001044842
535.48,0.046311219,0.001039287
540.48,0.05145691,0.00103141
545.48,0.056602601,0.001029138
550.32,0.063463523,0.001029138
555.32,0.068609214,0.001029138
560.32,0.073754905,0.001024265
565.32,0.078900596,0.000990443
570.15,0.082331056,0.001000415
575.15,0.087476747,0.001029029
580.15,0.090907208,0.001029134
585.15,0.096052899,0.001041855
589.98,0.10119859,0.001046152
594.98,0.104629051,0.000989141
599.98,0.109774742,0.000906922
604.98,0.113205202,0.000812134
609.82,0.116635663,0.000696606
614.82,0.120066124,0.000692862
619.82,0.123496584,0.000686093
624.82,0.126927045,0.00069304
629.65,0.130357506,0.000696062
634.65,0.133787966,0.000692096
639.65,0.137218427,0.000827693
644.65,0.142364225,0.000967006
649.48,0.145794686,0.001123438
654.48,0.169807911,0.001451487
659.48,0.200682057,0.003252937
664.48,0.231556203,0.003923166
669.32,0.250423736,0.006062924
674.32,0.295019725,0.006120062
679.32,0.325893871,0.006169421
684.32,0.356768017,0.006213294
689.15,0.387642164,0.006242404
694.15,0.41851631,0.006212667
699.15,0.449390563,0.006168738
704.15,0.481979939,0.006106252
709.15,0.500847473,0.005113433
713.98,0.519715007,0.004705787
718.98,0.53858254,0.004471217
723.98,0.557450074,0.004225656
728.98,0.572887147,0.00386935
733.82,0.596900372,0.003573672
738.82,0.615767906,0.003201941
743.82,0.634635439,0.002891648
748.82,0.653502973,0.002640015
753.65,0.668940046,0.002302425
758.65,0.672370507,0.001673117
763.65,0.677516198,0.001035761
768.65,0.679231428,0.001039877
773.48,0.684377119,0.001042389
778.48,0.68952281,0.001027837
783.48,0.692953271,0.001007679
788.48,0.698098962,0.000947391
793.32,0.701529423,0.000780235
798.32,0.704959883,0.00069273
803.32,0.708390344,0.00068752
808.32,0.711820805,0.000686092
813.15,0.713536035,0.000686092
818.15,0.716966496,0.000686092
823.15,0.720396956,0.000661779
828.15,0.723827417,0.000583722
832.98,0.725542647,0.000450889
837.98,0.727257878,0.000417873
847.98,0.734118799,0.000501036
852.82,0.735834136,0.000517486
857.82,0.739264597,0.000422024
862.82,0.740979827,0.000408584
872.65,0.746125518,0.000421729
877.65,0.747840749,0.000439193
887.65,0.75298644,0.00041626
892.48,0.75470167,0.000407819
897.48,0.7564169,0.000356496
902.48,0.758132131,0.000379981
912.32,0.763277822,0.000408329
917.32,0.764993052,0.000404913
922.32,0.766708282,0.000343047
927.32,0.768423513,0.000346521
932.15,0.770138743,0.000346991
937.15,0.771853973,0.0003471
971.82,0.785575816,0.000393398
976.82,0.785575816,0.000387262
1011.48,0.797582428,0.000345396
1016.48,0.799297659,0.000344353
1021.48,0.801012889,0.000343355
1026.48,0.80272812,0.000342755
1046.32,0.807873811,0.000304383
1051.15,0.809589041,0.000296397
1066.15,0.813019502,0.000287898
1070.98,0.814734732,0.000269801
1080.98,0.816449962,0.000268411
1085.98,0.818165193,0.000248382
1095.82,0.819880423,0.000267261
1100.82,0.821595653,0.000250069
1110.65,0.823310884,0.000268507
1115.65,0.825026114,0.000251361
1125.65,0.826741344,0.000271006
1130.48,0.828456575,0.000252467
1140.48,0.830171805,0.000265898
1145.48,0.831887035,0.000241672
1155.32,0.833602266,0.000226407
1170.15,0.837032726,0.000212676
1180.15,0.838747957,0.000230398
1185.15,0.840463187,0.000224031
1194.98,0.842178417,0.000223168
1209.82,0.845608878,0.000216425
1219.82,0.847324108,0.000260579
1224.82,0.849039339,0.000283881
